id,name,aliases,domain,tags,type,summary,logic,physics,decision_theory
p_painters,Painter’s Paradox,,mathematics,"measure;infinity",intuition,"Painting infinitely many stripes or regions in finite area challenges intuition about measure.",0,0,0
p_berry,Berry’s Paradox,,logic,"self-reference;semantics",antinomy,"The phrase ‘the smallest natural number not nameable in under eleven words’ refers to a number it claims cannot be named.",1,0,0
p_meno,Meno’s Paradox,,philosophy,"epistemology;knowledge",antinomy,"If one knows what one is looking for inquiry is unnecessary, but without any knowledge inquiry seems impossible.",0,0,0
p_socratic,Socratic Paradox,,philosophy,"epistemology;ethics",veridical,"Claims like ‘I know that I know nothing’ appear self-undermining yet express a coherent stance on knowledge limits.",0,0,0
p_nonvoting,Non-Voting Paradox,,social choice,"voting;aggregation",veridical,"Abstentions or turnout changes can flip collective outcomes in counterintuitive ways.",0,0,1
p_bertrand_chord,"Bertrand’s Paradox (Chord)","Bertrand’s Paradox",probability,"geometric probability;infinity",antinomy,"Different ‘natural’ procedures for choosing a random chord in a circle yield different probabilities.",0,0,0
p_boxes,Boxes Paradox,"Bertrand’s Box Paradox;Three-Box Paradox",probability,"conditional probability",veridical,"Box and urn setups where conditioning on information reverses naive probability judgments.",0,0,0
p_moore,Moore’s Paradox,,philosophy,"epistemology;language",antinomy,"Statements like ‘It is raining, but I don’t believe it is’ appear absurd though not logically contradictory.",1,0,0
p_npv_irr,"NPV vs. IRR Paradox",,finance,"investment;ranking",veridical,"Projects can have conflicting rankings under net present value and internal rate of return criteria.",0,0,1
p_dividend,Dividend Paradox,,finance,"corporate finance",veridical,"Dividend policy appears to affect firm value despite theoretical results suggesting irrelevance under ideal conditions.",0,0,1
p_thomson_lamp,Thomson’s Lamp,,philosophy,"supertask;infinity",antinomy,"A lamp toggled infinitely many times in finite time raises the question of its final state.",0,0,0
p_double_neg,Double Negatives Paradox,,linguistics,"semantics;pragmatics",intuition,"Phrases with double negatives can express affirmation or nuanced attitudes, defying simple logical mapping.",0,0,0
p_zeno,Zeno’s Paradoxes,,philosophy,"motion;infinity",antinomy,"Arguments like Achilles and the tortoise claim motion is impossible due to infinitely many required steps.",0,0,0
p_jevons,Jevons Paradox,,economics,"efficiency;rebound",veridical,"Efficiency improvements can increase total resource use when they lower effective cost and spur demand.",0,0,1
p_tea_leaves,Tea Leaves Paradox,,physics,"fluid dynamics",intuition,"Tea leaves collect in the center of a stirred cup despite naive centrifugal expectations.",0,1,0
p_fitch,"Fitch’s Knowability Paradox",,logic,"epistemic logic;knowability",antinomy,"If all truths are knowable, it appears to follow that all truths are in fact known.",1,0,0
p_drinker,Drinker Paradox,,logic,"classical logic;existential",veridical,"In any non-empty bar there is a person such that if that person is drinking, everyone is drinking.",1,0,0
p_paper_balloon,Paper Balloon Paradox,,physics,"buoyancy;thermodynamics",intuition,"Light paper balloons can rise in air in ways that seem to contradict simple weight-based expectations.",0,1,0
p_elevator,Elevator Weight Paradox,,physics,"acceleration;forces",intuition,"Apparent weight changes in an accelerating elevator can feel paradoxical without Newtonian analysis.",0,1,0
p_thrift,"Paradox of Thrift",,economics,"macro;aggregate demand",veridical,"Individual attempts to save more can reduce aggregate income and total saving in the economy.",0,0,1
p_aristotle_wheel,"Aristotle’s Wheel Paradox",,mathematics,"geometry;motion",antinomy,"Two concentric wheels seem to trace equal path lengths despite having different circumferences.",0,0,0
p_false_friends,False Friends Paradox,,linguistics,"translation;semantics",intuition,"Similar-looking words across languages can mislead speakers into incorrect interpretations.",0,0,0
p_hedonist,"Paradox of Hedonism","Hedonist Paradox",philosophy,"ethics;psychology",veridical,"Directly pursuing pleasure can undermine its attainment, whereas indirect pursuit can be more effective.",0,0,0
p_immovable,"Irresistible Force / Immovable Object","Omnipotence Paradox",philosophy,"theology;power",antinomy,"The coexistence of an irresistible force and an immovable object appears logically impossible.",0,0,0
p_liberal,Liberal Paradox,"Sen’s Liberal Paradox",social choice,"rights;efficiency",antinomy,"Minimal individual rights can conflict with Pareto efficiency in social choice frameworks.",0,0,1
p_ultimatum,Ultimatum Game Paradox,,game theory,"fairness;equilibrium",veridical,"Subgame-perfect equilibrium predicts acceptance of any positive offer, yet low offers are routinely rejected.",0,0,1
p_liar,Liar Paradox,"Epimenides Paradox",logic,"self-reference;truth",antinomy,"The sentence ‘This sentence is false’ is true if and only if it is false.",1,0,0
p_russell,Russell’s Paradox,,logic,"set theory;self-reference",antinomy,"The set of all sets that do not contain themselves leads to contradiction in naive set theory.",1,0,0
p_grelling,Grelling–Nelson Paradox,,logic,"self-reference;predication",antinomy,"The predicate ‘heterological’ seems to be heterological if and only if it is not.",1,0,0
p_curry,Curry’s Paradox,,logic,"implication;self-reference",antinomy,"Self-referential conditionals can trivialize certain logical systems, deriving any statement.",1,0,0
